"feature_id"	"type"	"function."	"evidence_codes"
"fig|1578.180.peg.559"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.560"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.561"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.562"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.563"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.564"	"peg"	"Conserved domain protein"	""
"fig|1578.180.peg.565"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.566"	"peg"	"METHYLTRANSFERASE"	""
"fig|1578.180.peg.567"	"peg"	"Mrr restriction system protein"	"ff"
"fig|1578.180.peg.568"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.569"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.570"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.571"	"peg"	"FIG042921: similarity to aminoacyl-tRNA editing enzymes YbaK, ProX"	"ff"
"fig|1578.180.peg.572"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.573"	"peg"	"Aryldialkylphosphatase related protein"	"ff"
"fig|1578.180.peg.574"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.575"	"peg"	"D-lactate dehydrogenase (EC 1.1.1.28)"	"idu(3);Fermentations:_Lactate idu(3);Fermentations:_Mixed_acid"
"fig|1578.180.peg.576"	"peg"	"Lyzozyme M1 (1,4-beta-N-acetylmuramidase)"	"ff"
"fig|1578.180.peg.577"	"peg"	"ATP-dependent RNA helicase YfmL"	"ff"
"fig|1578.180.peg.578"	"peg"	"phosphoenolpyruvate-dependent sugar phosphotransferase system EIIC, probable cellobiose specific"	"ff"
"fig|1578.180.rna.43"	"rna"	"tRNA-Arg-CCT"	""
"fig|1578.180.peg.579"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.580"	"peg"	"PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69) / PTS system, maltose and glucose-specific IIB component (EC 2.7.1.69) / PTS system, maltose and glucose-specific IIA component (EC 2.7.1.69)"	"isu;Maltose_and_Maltodextrin_Utilization icw(1);Maltose_and_Maltodextrin_Utilization icw(1);Maltose_and_Maltodextrin_Utilization"
"fig|1578.180.peg.581"	"peg"	"Aspartate aminotransferase (EC 2.6.1.1)"	"idu(3);Coenzyme_M_biosynthesis_--_gjo idu(3);Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis idu(3);CBSS-216591.1.peg.168 idu(3);Threonine_and_Homoserine_Biosynthesis"
"fig|1578.180.peg.582"	"peg"	"PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69) / PTS system, maltose and glucose-specific IIB component (EC 2.7.1.69)"	"icw(1);Maltose_and_Maltodextrin_Utilization icw(1);Maltose_and_Maltodextrin_Utilization"
"fig|1578.180.peg.583"	"peg"	"Beta-glucoside bgl operon antiterminator, BglG family"	"icw(1);Beta-Glucoside_Metabolism"
"fig|1578.180.peg.584"	"peg"	"Beta-glucoside bgl operon antiterminator, BglG family"	"icw(1);Beta-Glucoside_Metabolism"
"fig|1578.180.peg.585"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.586"	"peg"	"UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)"	"isu;CMP-N-acetylneuraminate_Biosynthesis isu;Legionaminic_Acid_Biosynthesis isu;Sialic_Acid_Metabolism"
"fig|1578.180.peg.587"	"peg"	"Teichoic acid glycosylation protein"	"isu;Teichoic_and_lipoteichoic_acids_biosynthesis"
"fig|1578.180.peg.588"	"peg"	"Flavodoxin"	"isu;Flavodoxin"
"fig|1578.180.peg.589"	"peg"	"Methionine aminopeptidase (EC 3.4.11.18)"	"isu;CBSS-312309.3.peg.1965 isu;Translation_termination_factors_bacterial"
"fig|1578.180.peg.590"	"peg"	"Ribonuclease BN (EC 3.1.-.-)"	"ff"
"fig|1578.180.peg.591"	"peg"	"UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)"	"isu;Ribosome_post-transcriptional_modification_and_chromosomal_segregation_cluster"
"fig|1578.180.peg.592"	"peg"	"3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)"	"isu;CBSS-246196.1.peg.364 isu;n-Phenylalkanoic_acid_degradation isu;Ethylmalonyl-CoA_pathway_of_C2_assimilation,_GJO isu;Polyhydroxybutyrate_metabolism isu;Polyhydroxybutyrate_metabolism icw(2);Mevalonate_Branch_of_Isoprenoid_Biosynthesis isu;Isoleucine_degradation isu;Fatty_acid_metabolism_cluster isu;Biotin_biosynthesis isu;Lysine_fermentation isu;Isoprenoid_Biosynthesis"
"fig|1578.180.peg.593"	"peg"	"Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)"	"icw(1);Mevalonate_Branch_of_Isoprenoid_Biosynthesis icw(2);Isoprenoid_Biosynthesis icw(1);Leucine_Degradation_and_HMG-CoA_Metabolism"
"fig|1578.180.peg.594"	"peg"	"Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)"	"isu;Ketoisovalerate_oxidoreductase isu;Mevalonate_Branch_of_Isoprenoid_Biosynthesis icw(1);Isoprenoid_Biosynthesis isu;Leucine_Degradation_and_HMG-CoA_Metabolism"
"fig|1578.180.peg.595"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.596"	"peg"	"FIG00746165: hypothetical protein"	"ff"
"fig|1578.180.peg.597"	"peg"	"RNA methyltransferase, TrmA family"	"ff"
"fig|1578.180.peg.598"	"peg"	"regulatory protein RecX"	"ff"
"fig|1578.180.peg.599"	"peg"	"FIG00743463: hypothetical protein"	"ff"
"fig|1578.180.peg.600"	"peg"	"FIG00742339: hypothetical protein"	"ff"
"fig|1578.180.peg.601"	"peg"	"Magnesium and cobalt efflux protein CorC"	"idu(1);Magnesium_transport idu(1);Glycyl-tRNA_synthetase_containing_cluster idu(1);CBSS-56780.10.peg.1536"
"fig|1578.180.peg.602"	"peg"	"Peptide chain release factor 3"	"isu;Translation_termination_factors_bacterial"
"fig|1578.180.peg.603"	"peg"	"FIG00743758: hypothetical protein"	"ff"
"fig|1578.180.peg.604"	"peg"	"ATP-dependent Clp protease ATP-binding subunit ClpA"	"idu(2);Proteolysis_in_bacteria,_ATP-dependent idu(2);Ribosome_recycling_related_cluster"
"fig|1578.180.peg.605"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.606"	"peg"	"Phosphocarrier protein of PTS system"	"ff"
"fig|1578.180.peg.607"	"peg"	"Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	"isu;Fructose_utilization isu;Mannitol_Utilization"
"fig|1578.180.peg.608"	"peg"	"putative arsenate reductase"	"ff"
"fig|1578.180.peg.609"	"peg"	"Negative regulator of genetic competence MecA"	"isu;Gram_Positive_Competence"
"fig|1578.180.peg.610"	"peg"	"Competence protein CoiA"	"icw(1);Gram_Positive_Competence"
"fig|1578.180.peg.611"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.612"	"peg"	"Adenylate cyclase (EC 4.6.1.1)"	"isu;cAMP_signaling_in_bacteria"
"fig|1578.180.peg.613"	"peg"	"GTP pyrophosphokinase (EC 2.7.6.5)"	"ff"
"fig|1578.180.peg.614"	"peg"	"NAD kinase (EC 2.7.1.23)"	"isu;NAD_and_NADP_cofactor_biosynthesis_global"
"fig|1578.180.peg.615"	"peg"	"Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type"	"isu;Ribosome_biogenesis_bacterial isu;RNA_pseudouridine_syntheses"
"fig|1578.180.peg.616"	"peg"	"6-phosphogluconolactonase (EC 3.1.1.31)"	"isu;Entner-Doudoroff_Pathway isu;Pentose_phosphate_pathway"
"fig|1578.180.peg.617"	"peg"	"cation-transporting ATPase, E1-E2 family"	"ff"
"fig|1578.180.peg.618"	"peg"	"PTS system, glucitol/sorbitol-specific IIA component"	"ff"
"fig|1578.180.peg.619"	"peg"	"FIG00906412: hypothetical protein"	"ff"
"fig|1578.180.peg.620"	"peg"	"tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)"	"isu;RNA_methylation"
"fig|1578.180.peg.621"	"peg"	"FIG00742078: hypothetical protein"	"ff"
"fig|1578.180.peg.622"	"peg"	"Cell division protein FtsK"	"isu;Bacterial_RNA-metabolizing_Zn-dependent_hydrolases isu;Bacterial_Cell_Division isu;Bacterial_Cytoskeleton"
"fig|1578.180.peg.623"	"peg"	"3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)"	"idu(1);CBSS-246196.1.peg.364"
"fig|1578.180.peg.624"	"peg"	"Transcriptional regulator in cluster with unspecified monosaccharide ABC transport system"	"ff"
"fig|1578.180.peg.625"	"peg"	"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)"	"isu;Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria"
"fig|1578.180.peg.626"	"peg"	"Osmotically activated L-carnitine/choline ABC transporter, ATP-binding protein OpuCA"	"icw(1);Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis"
"fig|1578.180.peg.627"	"peg"	"Osmotically activated L-carnitine/choline ABC transporter, permease protein OpuCB"	"isu;Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis"
"fig|1578.180.peg.628"	"peg"	"Osmotically activated L-carnitine/choline ABC transporter, substrate-binding protein OpuCC"	"icw(3);Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis"
"fig|1578.180.peg.629"	"peg"	"Osmotically activated L-carnitine/choline ABC transporter, permease protein OpuCD"	"icw(2);Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis"
"fig|1578.180.peg.630"	"peg"	"RecA protein"	"isu;DNA_repair,_bacterial_UmuCD_system isu;DNA-replication isu;DNA_repair_system_including_RecA,_MutS_and_a_hypothetical_protein isu;DNA_repair,_bacterial_RecFOR_pathway icw(1);CBSS-469378.4.peg.430 isu;DNA_repair,_bacterial"
"fig|1578.180.peg.631"	"peg"	"FIG002344: Hydrolase (HAD superfamily)"	"isu;CBSS-469378.4.peg.430"
"fig|1578.180.peg.632"	"peg"	"transcriptional regulator"	"ff"
"fig|1578.180.peg.633"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"icw(1);Succinate_dehydrogenase"
"fig|1578.180.peg.634"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"icw(1);Succinate_dehydrogenase"
"fig|1578.180.peg.635"	"peg"	"Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)"	"isu;Teichoic_and_lipoteichoic_acids_biosynthesis"
"fig|1578.180.peg.636"	"peg"	"FIG000605: protein co-occurring with transport systems (COG1739)"	"isu;CBSS-224308.1.peg.3555"
"fig|1578.180.peg.637"	"peg"	"ComF operon protein A, DNA transporter ATPase"	"isu;Gram_Positive_Competence"
"fig|1578.180.peg.638"	"peg"	"Competence protein F homolog, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy"	"isu;Biotin_biosynthesis_Experimental isu;CBSS-216591.1.peg.168"
"fig|1578.180.peg.639"	"peg"	"Ribosomal subunit interface protein"	"isu;Ribosome_activity_modulation"
"fig|1578.180.peg.640"	"peg"	"Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)"	"ff"
"fig|1578.180.peg.641"	"peg"	"Peptide chain release factor 2"	"isu;Programmed_frameshift isu;Translation_termination_factors_bacterial"
"fig|1578.180.peg.642"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.643"	"peg"	"HPr kinase/phosphorylase (EC 2.7.1.-) (EC 2.7.4.-)"	"isu;HPr_catabolite_repression_system isu;Mannitol_Utilization"
"fig|1578.180.peg.644"	"peg"	"Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)"	"isu;Lipoprotein_Biosynthesis"
"fig|1578.180.peg.645"	"peg"	"Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)"	"isu;Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization isu;Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria"
"fig|1578.180.peg.646"	"peg"	"Thioredoxin reductase (EC 1.8.1.9)"	"idu(1);Thioredoxin-disulfide_reductase idu(1);Glycine_reductase,_sarcosine_reductase_and_betaine_reductase"
"fig|1578.180.peg.647"	"peg"	"Phosphoglucosamine mutase (EC 5.4.2.10) / Phosphomannomutase (EC 5.4.2.8)"	"isu;Mannose_Metabolism idu(1);Bacterial_checkpoint-control-related_cluster idu(1);Sialic_Acid_Metabolism idu(1);UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis"
"fig|1578.180.peg.648"	"peg"	"Excinuclease ABC subunit B"	"icw(1);DNA_repair,_UvrABC_system"
"fig|1578.180.peg.649"	"peg"	"Excinuclease ABC subunit A"	"isu;DNA_repair,_UvrABC_system"
"fig|1578.180.peg.650"	"peg"	"Integral membrane protein"	""
"fig|1578.180.peg.651"	"peg"	"Hypothetical ATP-binding protein UPF0042, contains P-loop"	"ff"
"fig|1578.180.peg.652"	"peg"	"FIG002813: LPPG:FO 2-phospho-L-lactate transferase like, CofD-like"	"ff"
"fig|1578.180.peg.653"	"peg"	"FIG001886: Cytoplasmic hypothetical protein"	"ff"
"fig|1578.180.peg.654"	"peg"	"ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)"	"isu;Proteolysis_in_bacteria,_ATP-dependent isu;cAMP_signaling_in_bacteria isu;Proteasome_bacterial"
"fig|1578.180.peg.655"	"peg"	"FIG00747220: hypothetical protein"	"ff"
"fig|1578.180.peg.656"	"peg"	"Peroxide stress regulator PerR, FUR family"	"isu;Oxidative_stress"
"fig|1578.180.peg.657"	"peg"	"Amino acid permease"	"ff"
"fig|1578.180.peg.658"	"peg"	"FIG00751088: hypothetical protein"	"ff"
"fig|1578.180.peg.659"	"peg"	"Putrescine carbamoyltransferase (EC 2.1.3.6)"	"ff"
"fig|1578.180.rna.44"	"rna"	"tRNA-Pseudo-CCG"	""
"fig|1578.180.peg.660"	"peg"	"Central glycolytic genes regulator"	"ff"
"fig|1578.180.peg.661"	"peg"	"NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)"	"icw(1);Entner-Doudoroff_Pathway icw(2);Calvin-Benson_cycle idu(1);Redox-dependent_regulation_of_nucleus_processes icw(1);Glycolysis_and_Gluconeogenesis"
"fig|1578.180.peg.662"	"peg"	"Phosphoglycerate kinase (EC 2.7.2.3)"	"isu;Entner-Doudoroff_Pathway icw(1);Calvin-Benson_cycle icw(1);Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes icw(2);Glycolysis_and_Gluconeogenesis"
"fig|1578.180.peg.663"	"peg"	"Triosephosphate isomerase (EC 5.3.1.1)"	"isu;Calvin-Benson_cycle isu;Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes isu;Glycolysis_and_Gluconeogenesis isu;CBSS-331978.3.peg.2915"
"fig|1578.180.peg.664"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.665"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.666"	"peg"	"putative esterase"	"isu;Alpha-Amylase_locus_in_Streptocococcus"
"fig|1578.180.peg.667"	"peg"	"oxidoreductase, aldo/keto reductase family"	"ff"
"fig|1578.180.peg.668"	"peg"	"Transcriptional regulator, MerR family"	"idu(1);Cobalt-zinc-cadmium_resistance"
"fig|1578.180.peg.669"	"peg"	"ABC transporter ATPase component"	""
"fig|1578.180.peg.670"	"peg"	"FIG00742364: hypothetical protein"	"ff"
"fig|1578.180.peg.671"	"peg"	"hydrolase, haloacid dehalogenase-like family"	"ff"
"fig|1578.180.peg.672"	"peg"	"Uracil-DNA glycosylase, family 1"	"isu;DNA_Repair_Base_Excision isu;Uracil-DNA_glycosylase"
"fig|1578.180.peg.673"	"peg"	"Phosphate acetyltransferase (EC 2.3.1.8)"	"isu;Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate isu;Ethanolamine_utilization isu;Fermentations:_Lactate isu;Fermentations:_Mixed_acid isu;Propanediol_utilization isu;Threonine_anaerobic_catabolism_gene_cluster"
"fig|1578.180.peg.674"	"peg"	"TsaE protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA"	"isu;Scaffold_proteins_for_[4Fe-4S]_cluster_assembly_(MRP_family) isu;YjeE"
"fig|1578.180.peg.675"	"peg"	"Exonuclease"	"ff"
"fig|1578.180.peg.676"	"peg"	"UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158)"	"isu;UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis isu;Peptidoglycan_Biosynthesis"
"fig|1578.180.peg.677"	"peg"	"Diadenylate cyclase spyDAC; Bacterial checkpoint controller DisA with nucleotide-binding domain"	"isu;Bacterial_checkpoint-control-related_cluster icw(2);Bacterial_checkpoint-control-related_cluster"
"fig|1578.180.peg.678"	"peg"	"Uncharacterized secreted protein associated with spyDAC"	"icw(1);Bacterial_checkpoint-control-related_cluster"
"fig|1578.180.peg.679"	"peg"	"Phosphoglucosamine mutase (EC 5.4.2.10)"	"icw(2);Bacterial_checkpoint-control-related_cluster idu(1);Sialic_Acid_Metabolism icw(1);UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis"
"fig|1578.180.peg.680"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.681"	"peg"	"Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)"	"idu(3);Inteins idu(3);Sialic_Acid_Metabolism idu(3);UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis"
"fig|1578.180.peg.682"	"peg"	"HMP-PP hydrolase (pyridoxal phosphatase) Cof, detected in genetic screen for thiamin metabolic genes (PMID:15292217)"	"ff"
"fig|1578.180.peg.683"	"peg"	"Negative transcriptional regulator-copper transport operon"	"isu;Copper_homeostasis"
"fig|1578.180.peg.684"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.685"	"peg"	"Mobile element protein"	""
"fig|1578.180.peg.686"	"peg"	"Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)"	"idu(1);Teichoic_and_lipoteichoic_acids_biosynthesis"
"fig|1578.180.peg.687"	"peg"	"transport protein"	""
"fig|1578.180.peg.688"	"peg"	"Transcriptional regulator, MarR family"	""
"fig|1578.180.peg.689"	"peg"	"Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)"	"isu;Purine_conversions isu;Purine_salvage_cluster"
"fig|1578.180.peg.690"	"peg"	"ABC transporter, ATP-binding protein"	"ff"
"fig|1578.180.peg.691"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.692"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.693"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.694"	"peg"	"Copper-transporting ATPase"	"ff"
"fig|1578.180.peg.695"	"peg"	"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"	"idu(2);Copper_Transport_System idu(2);Copper_homeostasis"
"fig|1578.180.peg.696"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.697"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.698"	"peg"	"ABC transporter, ATP-binding protein"	""
"fig|1578.180.peg.699"	"peg"	"ABC transporter permease protein"	"ff"
"fig|1578.180.peg.700"	"peg"	"ABC transporter ATP-binding protein YvcR"	"ff"
"fig|1578.180.peg.701"	"peg"	"Hydrolase (HAD superfamily)"	""
"fig|1578.180.peg.702"	"peg"	"Amino acid permease"	"ff"
"fig|1578.180.peg.703"	"peg"	"FIG000859: hypothetical protein YebC"	"isu;RuvABC_plus_a_hypothetical isu;Riboflavin,_FMN_and_FAD_metabolism_in_plants"
"fig|1578.180.peg.704"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.705"	"peg"	"Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-) / Penicillin-binding protein 1A/1B (PBP1)"	"idu(1);Control_of_cell_elongation_-_division_cycle_in_Bacilli idu(2);Peptidoglycan_Biosynthesis"
"fig|1578.180.peg.706"	"peg"	"biphenyl-2,3-diol 1,2-dioxygenase III-related protein"	"isu;Biphenyl_Degradation"
"fig|1578.180.peg.707"	"peg"	"Late competence protein ComGA, access of DNA to ComEA"	"isu;Gram_Positive_Competence"
"fig|1578.180.peg.708"	"peg"	"Late competence protein ComGB, access of DNA to ComEA"	"icw(1);Gram_Positive_Competence"
"fig|1578.180.peg.709"	"peg"	"Late competence protein ComGC, access of DNA to ComEA, FIG007487"	""
"fig|1578.180.peg.710"	"peg"	"Late competence protein ComGD, access of DNA to ComEA, FIG038316"	""
"fig|1578.180.peg.711"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.712"	"peg"	"Late competence protein ComGE, FIG075573"	""
"fig|1578.180.peg.713"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.714"	"peg"	"Adenine-specific methyltransferase (EC 2.1.1.72)"	"isu;CBSS-257314.1.peg.752"
"fig|1578.180.peg.715"	"peg"	"Acetate kinase (EC 2.7.2.1)"	"isu;Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate isu;Ethanolamine_utilization isu;Fermentations:_Lactate isu;Fermentations:_Mixed_acid icw(1);CBSS-257314.1.peg.752 isu;Threonine_anaerobic_catabolism_gene_cluster"
"fig|1578.180.peg.716"	"peg"	"Hydrolase, HAD superfamily, Cof family"	""
"fig|1578.180.peg.717"	"peg"	"Hydrolase, HAD superfamily, Cof family"	""
"fig|1578.180.peg.718"	"peg"	"Integrase"	"ff"
"fig|1578.180.peg.719"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.720"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.721"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.722"	"peg"	"Phage transcriptional regulator, Cro/CI family"	""
"fig|1578.180.peg.723"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.724"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.725"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.726"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.727"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.728"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.729"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.730"	"peg"	"Phage terminase, large subunit"	"isu;Phage_packaging_machinery"
"fig|1578.180.peg.731"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.732"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.733"	"peg"	"Permease"	""
"fig|1578.180.peg.734"	"peg"	"Transcriptional regulator, LysR family"	""
"fig|1578.180.peg.735"	"peg"	"Glycerol kinase (EC 2.7.1.30)"	"idu(1);Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization idu(1);Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria"
"fig|1578.180.peg.736"	"peg"	"Alpha-glycerophosphate oxidase (EC 1.1.3.21)"	"icw(1);Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization icw(1);Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria"
"fig|1578.180.peg.737"	"peg"	"Mannose-6-phosphate isomerase (EC 5.3.1.8)"	"isu;Mannose_Metabolism"
"fig|1578.180.peg.738"	"peg"	"Predicted integral membrane protein"	"ff"
"fig|1578.180.peg.739"	"peg"	"DNA-binding response regulator, OmpR family"	"ff"
"fig|1578.180.peg.740"	"peg"	"Two-component system histidine kinase"	"idu(1);Two-component_regulatory_systems_in_Campylobacter"
"fig|1578.180.peg.741"	"peg"	"Putative stomatin/prohibitin-family membrane protease subunit YbbK"	"ff"
"fig|1578.180.peg.742"	"peg"	"Lipoteichoic acid synthase LtaS Type IIb"	"isu;Polyglycerolphosphate_lipoteichoic_acid_biosynthesis"
"fig|1578.180.peg.743"	"peg"	"Glycopeptide antibiotics resistance protein"	"ff"
"fig|1578.180.peg.744"	"peg"	"Glucose-6-phosphate isomerase (EC 5.3.1.9)"	"isu;Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes isu;Glycolysis_and_Gluconeogenesis"
"fig|1578.180.peg.745"	"peg"	"FIG00743417: hypothetical protein"	"ff"
"fig|1578.180.peg.746"	"peg"	"membrane protein, putative"	"ff"
"fig|1578.180.peg.747"	"peg"	"Beta-phosphoglucomutase (EC 5.4.2.6)"	"icw(1);N-Acetyl-Galactosamine_and_Galactosamine_Utilization idu(1);Trehalose_Uptake_and_Utilization idu(1);Maltose_and_Maltodextrin_Utilization"
"fig|1578.180.peg.748"	"peg"	"Alfa-L-rhamnosidase (EC 3.2.1.40)"	"ff"
"fig|1578.180.peg.749"	"peg"	"Beta-hexosaminidase (EC 3.2.1.52)"	"isu;N-Acetyl-Galactosamine_and_Galactosamine_Utilization isu;Chitin_and_N-acetylglucosamine_utilization"
"fig|1578.180.peg.750"	"peg"	"Melibiose operon regulatory protein"	"isu;Melibiose_Utilization"
"fig|1578.180.peg.751"	"peg"	"Permeases of the major facilitator superfamily"	""
"fig|1578.180.peg.752"	"peg"	"acetyl esterase family enzyme"	""
"fig|1578.180.peg.753"	"peg"	"Beta-xylosidase (EC 3.2.1.37)"	"ff"
"fig|1578.180.peg.754"	"peg"	"Transcriptional regulator of rhamnose utilization, AraC family"	""
"fig|1578.180.peg.755"	"peg"	"Beta-galactosidase (EC 3.2.1.23)"	"isu;Galactosylceramide_and_Sulfatide_metabolism isu;Lactose_utilization isu;Lactose_and_Galactose_Uptake_and_Utilization"
"fig|1578.180.peg.756"	"peg"	"transport protein"	""
"fig|1578.180.peg.757"	"peg"	"acetyl esterase family enzyme"	""
"fig|1578.180.peg.758"	"peg"	"Beta-xylosidase (EC 3.2.1.37)"	"ff"
"fig|1578.180.peg.759"	"peg"	"FIG00743657: hypothetical protein"	"ff"
"fig|1578.180.peg.760"	"peg"	"Beta-lactamase class C and other penicillin binding proteins"	"idu(1);Beta-lactamase"
"fig|1578.180.rna.45"	"rna"	"tRNA-Glu-CTC"	""
"fig|1578.180.rna.46"	"rna"	"tRNA-Gln-CTG"	""
"fig|1578.180.peg.761"	"peg"	"Abortive infection bacteriophage resistance protein"	""
"fig|1578.180.peg.762"	"peg"	"hypothetical protein"	""
"fig|1578.180.peg.763"	"peg"	"lipoprotein, putative"	""
"fig|1578.180.peg.764"	"peg"	"prophage Lp2 protein 7"	""
"fig|1578.180.peg.765"	"peg"	"proposed amino acid ligase found clustered with an amidotransferase"	"ff"
"fig|1578.180.peg.766"	"peg"	"Thymidine kinase (EC 2.7.1.21)"	"ff"
"fig|1578.180.peg.767"	"peg"	"Peptide chain release factor 1"	"icw(1);Translation_termination_factors_bacterial icw(1);CBSS-216600.3.peg.802"
"fig|1578.180.peg.768"	"peg"	"Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2"	"isu;Translation_termination_factors_bacterial isu;CBSS-216600.3.peg.802"
"fig|1578.180.peg.769"	"peg"	"TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA"	"ff"
"fig|1578.180.peg.770"	"peg"	"Uracil phosphoribosyltransferase (EC 2.4.2.9)"	"idu(1);De_Novo_Pyrimidine_Synthesis"
"fig|1578.180.peg.771"	"peg"	"ATP synthase F0 sector subunit a"	"ff"
"fig|1578.180.peg.772"	"peg"	"ATP synthase F0 sector subunit c"	"ff"
"fig|1578.180.peg.773"	"peg"	"ATP synthase F0 sector subunit b"	"ff"
